,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1781,,
1,BALLOTS CAST - TOTAL.,345,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,19.37,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,256,74.85,
8,Yolanda Cancel,85,24.85,
9,WRITE-IN.,1,.29,
10,Blanks,3,,
11,CITY COUNCIL AT LARGE,,,
12,Vote for 5,,,
13,Justin J. Hurst,238,18.42,
14,Jesse Lederman.,146,11.30,
15,Kateri B. Walsh,183,14.16,
16,Tracye L. Whitfield,199,15.40,
17,LaMar Cook,113,8.75,
18,Sean Curran.,108,8.36,
19,Johnnie Ray Mcknight.,65,5.03,
20,Kelli P. Moriarty-Finn,78,6.04,
21,Christopher J. Pohner,61,4.72,
22,Israel Rivera,98,7.59,
23,WRITE-IN.,3,.23,
24,Blanks,433,,
25,CITY COUNCIL WARD 5,,,
26,Vote for 1,,,
27,Marcus J. Williams,232,77.59,
28,Edward Green,66,22.07,
29,WRITE-IN.,1,.33,
30,Blanks,46,,
