,0301 3A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1741,
1,BALLOTS CAST - TOTAL.,98,
2,VOTER TURNOUT - TOTAL,,5.63
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,35,11.11
5,JUSTIN J. HURST,50,15.87
6,KATERI B. WALSH,36,11.43
7,ERNESTO E. CRUZ,33,10.48
8,VICTOR G. DAVILA,17,5.40
9,JESSE LEDERMAN.,38,12.06
10,JYNAI S. McDONALD.,21,6.67
11,KELLI P. MORIARTY-FINN,20,6.35
12,TIMOTHY RYAN,41,13.02
13,TRACYE L. WHITFIELD,24,7.62
14,WRITE-IN.,0,
15,Blanks,175,
16,CITY COUNCIL WARD 3,,
17,VOTE FOR 1,,
18,MELVIN A. EDWARDS.,59,67.05
19,KEVIN J. DUMPSON,29,32.95
20,WRITE-IN.,0,
21,Blanks,10,
22,SCHOOL COMMITTEE AT LARGE,,
23,VOTE FOR 2,,
24,DENISE MARIE HURST,61,40.13
25,JAMES J. FERRERA III.,44,28.95
26,RYAN HESS,14,9.21
27,LaTONIA MONROE NAYLOR,33,21.71
28,WRITE-IN.,0,
29,Blanks,44,
30,SCHOOL COMMITTEE DISTRICT 1,,
31,VOTE FOR 1,,
32,MARIA PEREZ.,51,100.00
33,WRITE-IN.,0,
