,0602 6B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1524,
1,BALLOTS CAST - TOTAL.,156,
2,VOTER TURNOUT - TOTAL,,10.24
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,113,72.44
6,SALVATORE S. CIRCOSTA,29,18.59
7,IVELISSE GONZALEZ.,1,.64
8,MICHAEL JONES,0,
9,JOHNNIE RAY MCKNIGHT.,10,6.41
10,BEVERLY L. SAVAGE.,3,1.92
11,WRITE-IN.,0,
12,Blanks,0,
