,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1668,
1,BALLOTS CAST - TOTAL,230,
2,VOTER TURNOUT - TOTAL,,13.79
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,141,15.56
5,JUSTIN J. HURST,109,12.03
6,KATERI B. WALSH .,126,13.91
7,ERNESTO E. CRUZ . .,40,4.42
8,VICTOR G. DAVILA . .,75,8.28
9,JESSE LEDERMAN. . .,117,12.91
10,JYNAI S. McDONALD. .,25,2.76
11,KELLI P. MORIARTY-FINN,92,10.15
12,TIMOTHY RYAN,121,13.36
13,TRACYE L. WHITFIELD,59,6.51
14,WRITE-IN.,1,.11
15,Blanks,244,
16,CITY COUNCIL WARD 7,,
17,VOTE FOR 1,,
18,TIMOTHY C. ALLEN,163,98.79
19,WRITE-IN.,2,1.21
20,Blanks,65,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
22,DENISE MARIE HURST,118,30.97
23,JAMES J. FERRERA III.,132,34.65
24,RYAN HESS,72,18.90
25,LaTONIA MONROE NAYLOR,59,15.49
26,WRITE-IN.,0,
27,Blanks,79,
28,SCHOOL COMMITTEE DISTRICT 3,,
29,VOTE FOR 1,,
30,CHRISTOPHER COLLINS,156,98.73
31,WRITE-IN.,2,1.27
32,Blanks,72,
