,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1530,
1,BALLOTS CAST - TOTAL.,50,
2,VOTER TURNOUT - TOTAL,,3.27
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,38,77.55
6,YOLANDA CANCEL.,8,16.33
7,JEFFERY P. DONNELLY,1,2.04
8,LINDA MATYS 0'CONNELL,2,4.08
9,WRITE-IN.,0,
10,Blanks,1,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,26,18.57
13,JESSE LEDERMAN.,17,12.14
14,KATERI B. WALSH . .,20,14.29
15,TRACYE L. WHITFIELD . .,14,10.00
16,LaMAR COOK,4,2.86
17,SEAN CURRAN.,14,10.00
18,KENCY GILET.,2,1.43
19,JOHNNIE RAY MCKNIGHT.,4,2.86
20,KELLI P. MORIARTY-FINN,6,4.29
21,CHRISTOPHER J. POHNER,7,5.00
22,ISRAEL RIVERA,24,17.14
23,WRITE-IN.,2,1.43
24,Blanks,110,
