,,,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1685,
1,,BALLOTS CAST - TOTAL.,670,
2,,VOTER TURNOUT - TOTAL,,39.76
3,,MAYOR,,
4,,VOTE FOR 1,,
5,,DOMENIC J. SARNO,536,81.58
6,,SALVATORE S. CIRCOSTA,118,17.96
7,,WRITE-IN.,3,.46
8,,Blanks,13,
9,,COUNCILLOR AT LARGE,,
10,,VOTE FOR 5,,
11,,THOMAS ASHE.,509,19.85
12,,JUSTIN J. HURST,284,11.08
13,,TIMOTHY J. ROOKE,486,18.95
14,,KATERI B. WALSH .,376,14.66
15,,BUD L. WILLIAMS,331,12.91
16,,LaMAR COOK,64,2.50
17,,JEFFERY P. DONNELLY,87,3.39
18,,JESSE L. LEDERMAN.,187,7.29
19,,"KENNETH S. POOLER, JR",156,6.08
20,,ALEXANDER J. SHERMAN.,79,3.08
21,,WRITE-IN,5,.20
22,,Blanks,786,
23,,,,
24,,WARD SEVEN COUNCILLOR,,
25,,VOTE FOR 1,,
26,,TIMOTHY C. ALLEN,529,84.24
27,,LILLIAN GRAY,98,15.61
28,,WRITE-IN.,1,.16
29,,Blanks,42,
30,,QUESTION 1,,
