,0107 1G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1964,
1,BALLOTS CAST - TOTAL.,64,
2,VOTER TURNOUT - TOTAL,,3.26
3,CITY COUNCIL AT LARGE WARD 1 VOTE FOR 1,,
4,ZAIDA LUNA,15,23.44
5,JOSE L. CLAUDIO,20,31.25
6,STEPHEN DALY,24,37.50
7,MIGUEL RIVAS JR.,4,6.25
8,WRITE-IN.,1,1.56
