,0602 6B,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1618,,
1,BALLOTS CAST - TOTAL,383,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,23.67,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,238,65.93,
8,Yolanda Cancel,120,33.24,
9,WRITE-IN.,3,.83,
10,Blanks,22,,
11,CITY COUNCIL AT LARGE,,,
12,Vote for 5,,,
13,Justin J. Hurst,165,12.15,
14,Jesse Lederman.,263,19.37,
15,Kateri B. Walsh,217,15.98,
16,Tracye L. Whitfield,145,10.68,
17,LaMar Cook,60,4.42,
18,Sean Curran.,142,10.46,
19,Johnnie Ray Mcknight.,42,3.09,
20,Kelli P. Moriarty-Finn,149,10.97,
21,Christopher J. Pohner,76,5.60,
22,Israel Rivera,96,7.07,
23,WRITE-IN.,3,.22,
24,Blanks,557,,
25,CITY COUNCIL WARD 6,,,
26,Vote for 1,,,
27,Victor G. Davila,176,49.72,
28,Timothy Ryan,178,50.28,
29,WRITE-IN.,0,,
30,Blanks,29,,
