,REGISTERED VOTERS - TOTAL,VOTES 1488,PERCENT
0,BALLOTS CAST - TOTAL.,122,
1,VOTER TURNOUT - TOTAL,,8.20
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,92,78.63
5,SALVATORE S. CIRCOSTA,25,21.37
6,WRITE-IN.,0,
7,Blanks,5,
8,COUNCILLOR AT LARGE,,
9,VOTE FOR 5,,
10,THOMAS ASHE.,47,14.87
11,JUSTIN J. HURST,42,13.29
12,TIMOTHY J. ROOKE,41,12.97
13,KATERI B. WALSH,48,15.19
14,BUD L. WILLIAMS,67,21.20
15,LaMAR COOK,14,4.43
16,JEFFERY P. DONNELLY,14,4.43
17,JESSE L. LEDERMAN.,21,6.65
18,"KENNETH S. POOLER, JR",7,2.22
19,ALEXANDER J. SHERMAN.,15,4.75
20,WRITE-IN.,0,
21,Blanks,294,
22,WARD THREE COUNCILLOR,,
23,VOTE FOR 1,,
24,MELVIN A. EDWARDS.,49,56.98
25,YOLANDA R. L. CANCEL.,37,43.02
26,WRITE-IN.,0,
27,Blanks,36,
28,QUESTION 1,,
29,VOTE FOR 1,,
30,YES (SI),67,77.01
31,NO (NO),20,22.99
32,Blanks,35,
33,QUESTION 2,,
34,VOTE FOR 1,,
35,YES (SI),63,73.26
36,NO (NO),23,26.74
37,Blanks,36,
