,0104 1D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1470,
1,BALLOTS CAST - TOTAL.,31,
2,VOTER TURNOUT - TOTAL,,2.11
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,28,90.32
6,YOLANDA CANCEL.,2,6.45
7,JEFFERY P. DONNELLY,1,3.23
8,LINDA MATYS 0'CONNELL,0,
9,WRITE-IN.,0,
10,Blanks,0,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,18,18.37
13,JESSE LEDERMAN.,8,8.16
14,KATERI B. WALSH,18,18.37
15,TRACYE L. WHITFIELD,7,7.14
16,LaMAR COOK,6,6.12
17,SEAN CURRAN.,8,8.16
18,KENCY GILET.,7,7.14
19,JOHNNIE RAY MCKNIGHT.,4,4.08
20,KELLI P. MORIARTY-FINN,2,2.04
21,CHRISTOPHER J. POHNER,8,8.16
22,ISRAEL RIVERA,12,12.24
23,WRITE-IN.,0,
24,Blanks,57,
