,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1619,
1,BALLOTS CAST - TOTAL.,48,
2,VOTER TURNOUT - TOTAL,,2.96
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,10,6.17
5,JUSTIN J. HURST,16,9.88
6,KATERI B. WALSH,19,11.73
7,ERNESTO E. CRUZ .,7,4.32
8,VICTOR G. DAVILA,10,6.17
9,MARILYN FELIX,5,3.09
10,JESSE LEDERMAN. .,25,15.43
11,JYNAI S. McDONALD.,11,6.79
12,KELVIN MOLINA,10,6.17
13,KELLI P. MORIARTY-FINN,8,4.94
14,TIMOTHY RYAN,21,12.96
15,WILLIE J. THOMAS,6,3.70
16,TRACYE L. WHITFIELD,14,8.64
17,WRITE-IN.,0,
18,Blanks,78,32.50
19,CITY COUNCIL WARD 3,,
20,VOTE FOR 1,,
21,MELVIN A. EDWARDS.,26,57.78
22,KEVIN DUMPSON,6,13.33
23,MATTHIAS GALVIN,13,28.89
24,WRITE-IN.,0,
25,Blanks,3,6.25
26,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
27,DENISE MARIE HURST,19,24.68
28,JAMES M. ANZIANO,9,11.69
29,LaMAR COOK,10,12.99
30,JAMES J. FERRERA III.,9,11.69
31,JOESIAH GONZALEZ,3,3.90
32,RYAN HESS,3,3.90
33,MICHAEL D. KOCSMIERSKY,8,10.39
34,LaTONIA MONROE NAYLOR,16,20.78
35,WRITE-IN,0,
36,Blanks,19,"19,79"
