,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,2044,
1,BALLOTS CAST - TOTAL,168,
2,VOTER TURNOUT - TOTAL,,8.22
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,88,14.19
5,JUSTIN J. HURST,80,12.90
6,KATERI B. WALSH,91,14.68
7,ERNESTO E. CRUZ,49,7.90
8,VICTOR G. DAVILA . .,43,6.94
9,JESSE LEDERMAN. . .,47,7.58
10,JYNAI S. McDONALD.,35,5.65
11,KELLI P. MORIARTY-FINN,54,8.71
12,TIMOTHY RYAN,75,12.10
13,TRACYE L. WHITFIELD,58,9.35
14,WRITE-IN.,0,
15,Blanks,220,
16,CITY COUNCIL WARD 2,,
17,VOTE FOR 1,,
18,MICHAEL A. FENTON.,109,69.87
19,KENCY GILET.,47,30.13
20,WRITE-IN.,0,
21,Blanks,12,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,83,30.74
24,JAMES J. FERRERA III.,84,31.11
25,RYAN HESS,45,16.67
26,LaTONIA MONROE NAYLOR,58,21.48
27,WRITE-IN.,0,
28,Blanks,66,
29,SCHOOL COMMITTEE DISTRICT 4,,
30,VOTE FOR 1,,
31,PETER MURPHY,87,58.78
32,ZAIDA GOVAN.,61,41.22
33,WRITE-IN.,0,
34,Blanks,20,
