,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1711,
1,BALLOTS CAST - TOTAL.,209,
2,VOTER TURNOUT - TOTAL,,12.22
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,169,81.25
6,YOLANDA CANCEL.,21,10.10
7,JEFFERY P. DONNELLY,10,4.81
8,LINDA MATYS 0'CONNELL,8,3.85
9,WRITE-IN.,0,
10,Blanks,1,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,110,13.66
13,JESSE LEDERMAN.,100,12.42
14,KATERI B. WALSH,101,12.55
15,TRACYE L. WHITFIELD,71,8.82
16,LaMAR COOK,36,4.47
17,SEAN CURRAN.,105,13.04
18,KENCY GILET.,22,2.73
19,JOHNNIE RAY MCKNIGHT.,29,3.60
20,KELLI P. MORIARTY-FINN,75,9.32
21,CHRISTOPHER J. POHNER,107,13.29
22,ISRAEL RIVERA,49,6.09
23,WRITE-IN.,0,
24,Blanks,240,
