,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1439,,
1,BALLOTS CAST - TOTAL.,245,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,17.03,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,175,72.61,
8,Yolanda Cancel,65,26.97,
9,WRITE-IN.,1,.41,
10,Blanks,4,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,179,19.74,
13,Jesse Lederman.,94,10.36,
14,Kateri B. Walsh,112,12.35,
15,Tracye L. Whitfield,161,17.75,
16,LaMar Cook,108,11.91,
17,Sean Curran.,56,6.17,
18,Johnnie Ray Mcknight.,69,7.61,
19,Kelli P. Moriarty-Finn,26,2.87,
20,Christopher J. Pohner,23,2.54,
21,Israel Rivera,76,8.38,
22,WRITE-IN.,3,.33,
23,Blanks,318,,
24,CITY COUNCIL WARD 5,,,
25,Vote for 1,,,
26,Marcus J. Williams,179,82.87,
27,Edward Green,37,17.13,
28,WRITE-IN.,0,,
29,Blanks,29,,
