,0302 3B,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1449,,
1,BALLOTS CAST - TOTAL.,127,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,8.76,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,78,62.40,
8,Yolanda Cancel,46,36.80,
9,WRITE-IN.,1,.80,
10,Blanks,2,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,60,13.82,
13,Jesse Lederman.,64,14.75,
14,Kateri B. Walsh,50,11.52,
15,Tracye L. Whitfield,51,11.75,
16,LaMar Cook,41,9.45,
17,Sean Curran.,36,8.29,
18,Johnnie Ray Mcknight.,22,5.07,
19,Kelli P. Moriarty-Finn,28,6.45,
20,Christopher J. Pohner,22,5.07,
21,Israel Rivera,56,12.90,
22,WRITE-IN.,4,.92,
23,Blanks,201,,
24,CITY COUNCIL WARD 3,,,
25,Vote for 1,,,
26,Melvin A. Edwards.,81,96.43,
27,WRITE-IN.,3,3.57,
28,Blanks,43,,
