,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1555,
1,BALLOTS CAST - TOTAL.,91,
2,VOTER TURNOUT - TOTAL,,5.85
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,58,64.44
6,YOLANDA CANCEL.,25,27.78
7,JEFFERY P. DONNELLY,4,4.44
8,LINDA MATYS 0'CONNELL,3,3.33
9,WRITE-IN.,0,
10,Blanks,1,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,48,15.24
13,JESSE LEDERMAN.,46,14.60
14,KATERI B. WALSH,44,13.97
15,TRACYE L. WHITFIELD .,30,9.52
16,LaMAR COOK,16,5.08
17,SEAN CURRAN.,14,4.44
18,KENCY GILET.,8,2.54
19,JOHNNIE RAY MCKNIGHT.,30,9.52
20,KELLI P. MORIARTY-FINN,12,3.81
21,CHRISTOPHER J. POHNER,16,5.08
22,ISRAEL RIVERA,51,16.19
23,WRITE-IN.,0,
24,Blanks,140,
