,,,,
0,REGISTERED VOTERS - TOTAL,1424,,
1,BALLOTS CAST,,,
2,BALLOTS CAST,,,
3,VOTER TURNOUT - TOTAL,,8.92,
4,VOTER TURNOUT,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J.,,,
8,Yolanda Cancel.,44,34.92,
9,WRITE-IN.,,,
10,Blanks,1,,
11,CITY COUNCIL AT Vote for 5,,,
12,Justin J. Hurst,,,
13,Jesse Lederman.,56,12.44,
14,Kateri B. Walsh,,,
15,Tracye L.,,,
16,LaMar Cook,29,6.44,
17,Sean Curran.,,,
18,Johnnie Ray,,,
19,Kelli P. Moriarty-Finn,34,7.56,
20,Christopher J.,,,
21,Israel Rivera,45,10.00,
22,WRITE-IN.,,,
23,Blanks,,,
24,CITY COUNCIL WARD 3,,,
25,Vote for 1,,,
26,Melvin A. Edwards.,86,97.73,
27,WRITE-IN.,,,
28,Blanks,,,
