,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1179,
1,BALLOTS CAST - TOTAL.,37,
2,VOTER TURNOUT - TOTAL,,3.14
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,21,58.33
6,YOLANDA CANCEL.,12,33.33
7,JEFFERY P. DONNELLY,0,
8,LINDA MATYS 0'CONNELL,2,5.56
9,WRITE-IN.,1,2.78
10,Blanks,1,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,20,15.87
13,JESSE LEDERMAN.,19,15.08
14,KATERI B. WALSH,20,15.87
15,TRACYE L. WHITFIELD,21,16.67
16,LaMAR COOK,11,8.73
17,SEAN CURRAN.,3,2.38
18,KENCY GILET.,6,4.76
19,JOHNNIE RAY MCKNIGHT.,4,3.17
20,KELLI P. MORIARTY-FINN,7,5.56
21,CHRISTOPHER J. POHNER,4,3.17
22,ISRAEL RIVERA,11,8.73
23,WRITE-IN.,0,
24,Blanks,59,
