,VOTE FOR 5,,
0,THOMAS ASHE.,25,9.43
1,JAMES J. FERRERA,28,10.57
2,TIMOTHY J. ROOKE,22,8.30
3,KATERI B. WALSH .,20,7.55
4,BRUCE SAMUEL ADAMS JR .,13,4.91
5,DAVID F. CIAMPI,9,3.40
6,JOSEPH R. FOUNTAIN,13,4.91
7,JUSTIN J. HURST .,22,8.30
8,AMAAD RIVERA .,33,12.45
9,CHARLES H. RUCKS .,15,5.66
10,MIGUEL A. SOTO. .,30,11.32
11,JOHN W. STEVENS .,6,2.26
12,BUD L. WILLIAMS .,29,10.94
13,WRITE-IN.,0,
14,Blanks,140,
