,0205 2E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1610,
1,BALLOTS CAST - TOTAL.,127,
2,VOTER TURNOUT - TOTAL,,7.89
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,99,79.20
6,YOLANDA CANCEL.,7,5.60
7,JEFFERY P. DONNELLY,12,9.60
8,LINDA MATYS O'CONNELL,7,5.60
9,WRITE-IN.,0,
10,Blanks,2,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,36,8.00
13,JESSE LEDERMAN.,43,9.56
14,KATERI B. WALSH,59,13.11
15,TRACYE L. WHITFIELD .,24,5.33
16,LaMAR COOK .,14,3.11
17,SEAN CURRAN.,87,19.33
18,KENCY GILET.,22,4.89
19,JOHNNIE RAY MCKNIGHT.,8,1.78
20,KELLI P. MORIARTY-FINN,55,12.22
21,CHRISTOPHER J. POHNER,87,19.33
22,ISRAEL RIVERA,15,3.33
23,WRITE-IN.,0,
24,Blanks,185,
