,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1866,
1,BALLOTS CAST - TOTAL.,132,
2,VOTER TURNOUT - TOTAL,,7.07
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,101,77.69
6,YOLANDA CANCEL.,17,13.08
7,JEFFERY P. DONNELLY,5,3.85
8,LINDA MATYS 0'CONNELL,7,5.38
9,WRITE-IN.,0,
10,Blanks,2,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,59,12.45
13,JESSE LEDERMAN.,47,9.92
14,KATERI B. WALSH,60,12.66
15,TRACYE L. WHITFIELD,43,9.07
16,LaMAR COOK,24,5.06
17,SEAN CURRAN.,67,14.14
18,KENCY GILET.,33,6.96
19,JOHNNIE RAY MCKNIGHT.,10,2.11
20,KELLI P. MORIARTY-FINN,31,6.54
21,CHRISTOPHER J. POHNER,68,14.35
22,ISRAEL RIVERA,32,6.75
23,WRITE-IN.,0,
24,Blanks,186,
