,0607 6G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1394,
1,BALLOTS CAST - TOTAL,234,
2,VOTER TURNOUT - TOTAL,,16.79
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,185,80.43
6,SALVATORE S. CIRCOSTA,44,19.13
7,WRITE-IN.,1,.43
8,Blanks,4,
9,COUNCILLOR AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,159,18.49
12,JUSTIN J. HURST,120,13.95
13,TIMOTHY J. ROOKE,127,14.77
14,KATERI B. WALSH,139,16.16
15,BUD L. WILLIAMS,116,13.49
16,LaMAR COOK,34,3.95
17,JEFFERY P. DONNELLY,42,4.88
18,JESSE L. LEDERMAN.,62,7.21
19,"KENNETH S. POOLER, JR",36,4.19
20,ALEXANDER J. SHERMAN.,25,2.91
21,WRITE-IN.,0,
22,Blanks,310,
23,WARD SIX COUNCILLOR VOTE FOR 1,,
24,KENNETH SHEA,159,75.00
25,KIM M. RIVERA,52,24.53
26,WRITE-IN.,1,.47
27,Blanks,22,
28,QUESTION 1,,
29,VOTE FOR 1,,
30,YES (SI),139,62.61
31,NO (NO),83,37.39
32,Blanks,12,
33,QUESTION 2,,
34,VOTE FOR 1,,
35,YES (SI),106,50.72
36,NO (NO),103,49.28
37,Blanks,25,
