,,REGISTERED VOTERS - TOTAL,VOTES 1327,PERCENT
0,,BALLOTS CAST - TOTAL.,124,
1,,VOTER TURNOUT - TOTAL,,9.34
2,,MAYOR,,
3,,VOTE FOR 1,,
4,,DOMENIC J. SARNO,80,66.67
5,,SALVATORE S. CIRCOSTA,40,33.33
6,,WRITE-IN.,0,
7,,Blanks,4,
8,,COUNCILLOR AT LARGE VOTE FOR 5,,
9,,THOMAS ASHE.,77,17.30
10,,JUSTIN J. HURST,53,11.91
11,,TIMOTHY J. ROOKE,62,13.93
12,,KATERI B. WALSH,69,15.51
13,,BUD L. WILLIAMS,71,15.96
14,,LaMAR COOK,20,4.49
15,,JEFFERY P. DONNELLY,15,3.37
16,,JESSE L. LEDERMAN.,41,9.21
17,,"KENNETH S. POOLER, JR",16,3.60
18,,ALEXANDER J. SHERMAN.,19,4.27
19,,WRITE-IN,2,.45
20,,Blanks,175,
21,,WARD THREE COUNCILLOR,,
22,,VOTE FOR 1,,
23,,MELVIN A. EDWARDS.,65,61.90
24,,YOLANDA R. L. CANCEL,40,38.10
25,,WRITE-IN.,0,
26,,Blanks,19,
27,,QUESTION 1,,
28,,VOTE FOR 1,,
29,,YES (SI),70,65.42
30,,NO (NO),37,34.58
31,,Blanks,17,
32,,QUESTION 2,,
33,,VOTE FOR 1,,
34,,YES (SI).,62,59.05
35,,NO (NO),43,40.95
36,,Blanks,19,
