,0201 2A,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1379,,
1,BALLOTS CAST - TOTAL.,135,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,9.79,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,94,71.21,
8,Yolanda Cancel,38,28.79,
9,WRITE-IN.,0,,
10,Blanks,3,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,55,12.22,
13,Jesse Lederman.,48,10.67,
14,Kateri B. Walsh,63,14.00,
15,Tracye L. Whitfield,49,10.89,
16,LaMar Cook,29,6.44,
17,Sean Curran.,60,13.33,
18,Johnnie Ray Mcknight.,13,2.89,
19,Kelli P. Moriarty-Finn,47,10.44,
20,Christopher J. Pohner,37,8.22,
21,Israel Rivera,46,10.22,
22,WRITE-IN.,3,.67,
23,Blanks,225,,
24,CITY COUNCIL WARD 2,,,
25,Vote for 1,,,
26,Michael A. Fenton.,99,99.00,
27,WRITE-IN.,1,1.00,
28,Blanks,35,,
