,0607 6G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1386,
1,BALLOTS CAST - TOTAL,96,
2,VOTER TURNOUT - TOTAL,,6.93
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,71,73.96
6,SALVATORE S. CIRCOSTA,10,10.42
7,IVELISSE GONZALEZ.,2,2.08
8,MICHAEL JONES,1,1.04
9,JOHNNIE RAY MCKNIGHT.,5,5.21
10,BEVERLY L. SAVAGE.,5,5.21
11,WRITE-IN.,2,2.08
12,Blanks,0,
