,0502 5B,VOTES,PERCENT,,
0,REGISTERED VOTERS - TOTAL,1629,,,
1,BALLOTS CAST - TOTAL.,258,,,
2,BALLOTS CAST - BLANK.,0,,,
3,VOTER TURNOUT - TOTAL,,15.84,,
4,VOTER TURNOUT - BLANK,,,,
5,MAYOR,,,,
6,Vote for 1,,,,
7,Domenic J. Sarno,183,72.62,,
8,Yolanda Cancel.,66,26.19,,
9,WRITE-IN.,3,1.19,,
10,Blanks,6,,,
11,CITY COUNCIL AT LARGE Vote for 5,,,,
12,Justin J. Hurst,172,17.64,,
13,Jesse Lederman.,112,11.49,,
14,Kateri B. Walsh,130,13.33,,
15,Tracye L. Whitfield,152,"15,59",,
16,LaMar Cook,83,8.51,,
17,Sean Curran.,84,8.62,,
18,Johnnie Ray Mcknight.,63,6.46,,
19,Kelli P. Moriarty-Finn,63,6.46,,
20,Christopher J. Pohner,44,4.51,,
21,Israel Rivera,69,7.08,,
22,WRITE-IN.,3,.31,,
23,Blanks,315,,,
24,CITY COUNCIL WARD 5,,,,
25,Vote for 1,,,,
26,Marcus J. Williams,182,76.47,,
27,Edward Green,56,23.53,,
28,WRITE-IN.,0,,,
29,Blanks,20,,,
