,0605,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1337,,
1,BALLOTS CAST - TOTAL.,188,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,14.06,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,139,75.14,
8,Yolanda Cancel,45,24.32,
9,WRITE-IN.,1,.54,
10,Blanks,3,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,105,15.04,
13,Jesse Lederman.,84,12.03,
14,Kateri B. Walsh,105,15.04,
15,Tracye L. Whitfield,89,12.75,
16,LaMar Cook,48,6.88,
17,Sean Curran.,66,9.46,
18,Johnnie Ray Mcknight.,34,4.87,
19,Kelli P. Moriarty-Finn,50,7.16,
20,Christopher J. Pohner,47,6.73,
21,Israel Rivera,65,9.31,
22,WRITE-IN.,5,.72,
23,Blanks,242,,
24,CITY COUNCIL WARD 6,,,
25,Vote for 1,,,
26,Victor G. Davila,103,59.54,
27,Timothy Ryan,70,40.46,
28,WRITE-IN.,0,,
29,Blanks,15,,
