,0807 8G,VOTES,PERCENT,,
0,REGISTERED VOTERS - TOTAL,1619,,,
1,BALLOTS CAST - TOTAL.,307,,,
2,BALLOTS CAST - BLANK.,0,,,
3,VOTER TURNOUT - TOTAL,,18.96,,
4,VOTER TURNOUT - BLANK,,,,
5,MAYOR,,,,
6,Vote for 1,,,,
7,Domenic J. Sarno,241,79.28,,
8,Yolanda Cancel,63,20.72,,
9,WRITE-IN.,0,,,
10,Blanks,3,,,
11,CITY COUNCIL AT LARGE Vote for 5,,,,
12,Justin J. Hurst,192,17.39,,
13,Jesse Lederman.,111,10.05,,
14,Kateri B. Walsh,162,14.67,,
15,Tracye L. Whitfield,124,11.23,,
16,LaMar Cook,61,5.53,,
17,Sean Curran.,130,11.78,,
18,Johnnie Ray Mcknight.,50,4.53,,
19,Kelli P. Moriarty-Finn,91,8.24,,
20,Christopher J. Pohner,86,7.79,,
21,Israel Rivera,95,8.61,,
22,WRITE-IN.,2,.18,,
23,Blanks,431,,,
24,CITY COUNCIL WARD 8,,,,
25,Vote for 1,,,,
26,Orlando Ramos,211,95.91,,
27,WRITE-IN.,9,4.09,,
28,Blanks,87,,,
