,0102 1B,VOTES,PERCENT
0,REGISTERED VOTERS . TOTAL,1699,
1,BALLOTS CAST - TOTAL.,218,
2,VOTER TURNOUT - TOTAL,,12.83
3,CITY COUNCIL AT LARGE WARD 1,,
4,VOTE FOR 1,,
5,ZAIDA LUNA,83,38.25
6,JOSE L. CLAUDIO,107,49.31
7,STEPHEN DALY,3,1.38
8,MIGUEL RIVAS JR.,23,10.60
9,WRITE-IN.,1,.46
