,0707 7G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1766,
1,BALLOTS CAST - TOTAL.,217,
2,VOTER TURNOUT - TOTAL,,12.29
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,167,78.77
6,YOLANDA CANCEL.,19,8.96
7,JEFFERY P. DONNELLY,16,7.55
8,LINDA MATYS O'CONNELL,10,4.72
9,WRITE-IN.,0,
10,Blanks,5,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,105,12.15
14,JESSE LEDERMAN.,102,11.81
15,KATERI B. WALSH,106,12.27
16,TRACYE L. WHITFIELD,78,9.03
17,LaMAR COOK,32,3.70
18,SEAN CURRAN.,102,11.81
19,KENCY GILET.,43,4.98
20,JOHNNIE RAY MCKNIGHT.,27,3.13
21,KELLI P. MORIARTY-FINN,80,9.26
22,CHRISTOPHER J. POHNER,128,14.81
23,ISRAEL RIVERA,58,6.71
24,WRITE-IN.,3,.35
25,Blanks,221,
