,0304 3D,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1541,,
1,BALLOTS CAST - TOTAL,106,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,6.88,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,70,66.04,
8,Yolanda Cancel,36,33.96,
9,WRITE-IN.,0,,
10,Blanks,0,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,62,16.19,
13,Jesse Lederman.,49,12.79,
14,Kateri B. Walsh,51,13.32,
15,Tracye L. Whitfield,62,16.19,
16,LaMar Cook,25,6.53,
17,Sean Curran.,29,7.57,
18,Johnnie Ray Mcknight.,16,4.18,
19,Kelli P. Moriarty-Finn,25,6.53,
20,Christopher J. Pohner,18,4.70,
21,Israel Rivera,44,11.49,
22,WRITE-IN.,2,.52,
23,Blanks,147,,
24,CITY COUNCIL WARD 3,,,
25,Vote for 1,,,
26,Melvin A. Edwards.,81,97.59,
27,WRITE-IN.,2,2.41,
28,Blanks,23,,
