,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1658,
1,BALLOTS CAST . TOTAL,525,
2,VOTER TURNOUT - TOTAL,,31.66
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,372,72.09
6,SALVATORE S. CIRCOSTA,143,27.71
7,WRITE-IN.,1,.19
8,Blanks,9,
9,COUNCILLOR AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,354,18.65
12,JUSTIN J. HURST,227,11.96
13,TIMOTHY J. ROOKE,329,17.33
14,KATERI B. WALSH .,273,14.38
15,BUD L. WILLIAMS,215,11.33
16,LaMAR COOK,65,3.42
17,JEFFERY P. DONNELLY,84,4.43
18,JESSE L. LEDERMAN.,166,8.75
19,,,
20,ALEXANDER J. SHERMAN.,88,4.64
21,WRITE-IN.,3,.16
22,Blanks,727,
23,,,
24,WARD SEVEN COUNCILLOR,,
25,VOTE FOR 1,,
26,TIMOTHY C. ALLEN,390,80.25
27,,,
28,WRITE-IN.,1,.21
