,0606,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1434,
1,BALLOTS CAST - TOTAL.,75,
2,VOTER TURNOUT - TOTAL,,5.23
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,53,71.62
6,YOLANDA CANCEL.,17,22.97
7,JEFFERY P. DONNELLY,1,1.35
8,LINDA MATYS O'CONNELL,3,4.05
9,WRITE-IN,0,
10,Blanks,1,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,51,17.53
13,JESSE LEDERMAN.,37,12.71
14,KATERI B. WALSH,39,13.40
15,TRACYE L. WHITFIELD,38,13.06
16,LaMAR COOK,23,7.90
17,SEAN CURRAN.,20,6.87
18,KENCY GILET.,6,2.06
19,JOHNNIE RAY MCKNIGHT.,19,6.53
20,KELLI P. MORIARTY-FINN,19,6.53
21,CHRISTOPHER J. POHNER,19,6.53
22,ISRAEL RIVERA,20,6.87
23,WRITE-IN.,0,
24,Blanks,84,
