,,,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1535,
1,,BALLOTS CAST - TOTAL.,403,
2,,VOTER TURNOUT - TOTAL,,26.25
3,,MAYOR,,
4,,VOTE FOR 1,,
5,,DOMENIC J. SARNO,314,79.09
6,,SALVATORE S. CIRCOSTA,79,19.90
7,,WRITE-IN.,4,1.01
8,,Blanks,6,
9,,COUNCILLOR AT LARGE,,
10,,VOTE FOR 5,,
11,,THOMAS ASHE.,275,19.12
12,,JUSTIN J. HURST,170,11.82
13,,TIMOTHY J. ROOKE,245,17.04
14,,KATERI B. WALSH .,226,15.72
15,,BUD L. WILLIAMS,182,12.66
16,,LaMAR COOK,47,3.27
17,,JEFFERY P. DONNELLY,63,4.38
18,,JESSE L. LEDERMAN.,115,8.00
19,,"KENNETH S. POOLER, JR",60,4.17
20,,ALEXANDER J. SHERMAN.,50,3.48
21,,WRITE-IN.,5,.35
22,,Blanks,577,
23,,,,
24,,WARD SEVEN COUNCILLOR,,
25,,VOTE FOR 1,,
26,,TIMOTHY C. ALLEN,260,74.29
27,,LILLIAN GRAY,89,25.43
28,,WRITE-IN.,1,.29
29,,Blanks,53,
30,,,,
