,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1603,,
1,BALLOTS CAST - TOTAL.,236,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,14.72,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,163,71.18,
8,Yolanda Cancel,66,28.82,
9,WRITE-IN.,0,,
10,Blanks,7,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,145,17.24,
13,Jesse Lederman.,100,11.89,
14,Kateri B. Walsh,113,13.44,
15,Tracye L. Whitfield,115,13.67,
16,LaMar Cook,45,5.35,
17,Sean Curran.,86,10.23,
18,Johnnie Ray Mcknight,44,5.23,
19,Kelli P. Moriarty-Finn,56,6.66,
20,Christopher J. Pohner,66,7.85,
21,Israel Rivera,69,8.20,
22,WRITE-IN.,2,.24,
23,Blanks,339,,
24,CITY COUNCIL WARD 8,,,
25,Vote for 1,,,
26,Orlando Ramos,174,97.75,
27,WRITE-IN.,4,2.25,
28,Blanks,58,,
