,0308 3H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1323,
1,BALLOTS CAST - TOTAL,63,
2,VOTER TURNOUT - TOTAL,,4.76
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,36,57.14
6,SALVATORE S. CIRCOSTA,14,22.22
7,IVELISSE GONZALEZ.,1,1.59
8,MICHAEL JONES,1,1.59
9,JOHNNIE RAY MCKNIGHT.,9,14.29
10,BEVERLY L. SAVAGE.,1,1.59
11,WRITE-IN.,1,1.59
12,Blanks,0,
