,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1599,
1,BALLOTS CAST - TOTAL.,112,
2,VOTER TURNOUT - TOTAL,,7.00
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,89,79.46
6,YOLANDA CANCEL.,14,12.50
7,JEFFERY P. DONNELLY,7,6.25
8,LINDA MATYS 0'CONNELL,2,1.79
9,WRITE-IN.,0,
10,Blanks,0,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,68,17.71
14,JESSE LEDERMAN.,39,10.16
15,KATERI B. WALSH,67,17.45
16,TRACYE L. WHITFIELD,33,8.59
17,LaMAR COOK,24,6.25
18,SEAN CURRAN.,34,8.85
19,KENCY GILET.,14,3.65
20,JOHNNIE RAY MCKNIGHT.,12,3.13
21,KELLI P. MORIARTY-FINN,34,8.85
22,CHRISTOPHER J. POHNER,24,6.25
23,ISRAEL RIVERA,31,8.07
24,WRITE-IN.,4,1.04
25,Blanks,176,
