,0105 1E,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1656,,
1,BALLOTS CAST - TOTAL,206,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,12.44,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,133,65.84,
8,Yolanda Cancel.,68,33.66,
9,WRITE-IN.,1,.50,
10,Blanks,4,,
11,CITY COUNCIL AT LARGE,,,
12,Vote for .5,,,
13,Justin J. Hurst,108,15.43,
14,Jesse Lederman.,66,9.43,
15,Kateri B. Walsh,101,14.43,
16,Tracye L. Whitfield,83,11.86,
17,LaMar Cook,45,6.43,
18,Sean Curran.,56,8.00,
19,Johnnie Ray Mcknight.,49,7.00,
20,Kelli P. Moriarty-Finn,52,7.43,
21,Christopher J. Pohner,26,3.71,
22,Israel Rivera,111,15.86,
23,WRITE-IN.,3,.43,
24,Blanks,330,,
25,CITY COUNCIL WARD 1,,,
26,Vote for 1,,,
27,Adam Gomez,168,97.67,
28,WRITE-IN.,4,2.33,
29,Blanks,34,,
