,,,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1446,
1,,BALLOTS CAST - TOTAL.,304,
2,,VOTER TURNOUT - TOTAL,,21.02
3,,MAYOR,,
4,,VOTE FOR 1,,
5,,DOMENIC J. SARNO,244,81.88
6,,SALVATORE S. CIRCOSTA,50,16.78
7,,WRITE-IN.,4,1.34
8,,Blanks,6,
9,,COUNCILLOR AT LARGE,,
10,,VOTE FOR 5,,
11,,THOMAS ASHE.,193,17.67
12,,JUSTIN J. HURST,126,11.54
13,,TIMOTHY J. ROOKE,182,16.67
14,,KATERI B. WALSH,193,17.67
15,,BUD L. WILLIAMS,138,12.64
16,,LaMAR COOK,39,3.57
17,,JEFFERY P. DONNELLY,34,3.11
18,,JESSE L. LEDERMAN.,99,9.07
19,,"KENNETH S. POOLER, JR",43,3.94
20,,ALEXANDER J. SHERMAN.,43,3.94
21,,WRITE-IN,2,.18
22,,Blanks,428,
23,,WARD SIX COUNCILLOR,,
24,,VOTE FOR 1,,
25,,KENNETH SHEA,206,74.37
26,,KIM M. RIVERA,71,25.63
27,,WRITE-IN.,0,
28,,Blanks,27,
29,,QUESTION 1,,
30,,VOTE FOR 1,,
31,,YES (SI),185,67.52
32,,NO (NO),89,32.48
33,,Blanks,30,
34,,QUESTION 2,,
35,,VOTE FOR 1,,
36,,YES (SI),116,44.27
37,,NO (NO),146,55.73
38,,Blanks,42,
