,0604 6D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1732,
1,BALLOTS CAST - TOTAL.,259,
2,VOTER TURNOUT - TOTAL,,14.95
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,150,14.75
5,JUSTIN J. HURST,105,10.32
6,KATERI B. WALSH,150,14.75
7,ERNESTO E. CRUZ,45,4.42
8,VICTOR G. DAVILA .,86,8.46
9,JESSE LEDERMAN. . .,115,11.31
10,JYNAI S. McDONALD.,42,4.13
11,KELLI P. MORIARTY-FINN,107,10.52
12,TIMOTHY RYAN,144,14.16
13,TRACYE L. WHITFIELD,70,6.88
14,WRITE-IN.,3,.29
15,Blanks,278,
16,CITY COUNCIL WARD 6,,
17,VOTE FOR 1,,
18,KENNETH SHEA,162,69.53
19,BOB COLLAMORE,70,30.04
20,WRITE-IN.,1,.43
21,Blanks,26,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,118,27.51
24,JAMES J. FERRERA III.,115,26.81
25,RYAN HESS,104,24.24
26,LaTONIA MONROE NAYLOR,92,21.45
27,WRITE-IN.,0,
28,Blanks,89,
29,SCHOOL COMMITTEE DISTRICT 3,,
30,VOTE FOR 1,,
31,CHRISTOPHER COLLINS,148,99.33
32,WRITE-IN.,1,.67
33,Blanks,110,
