,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1363,
1,BALLOTS CAST - TOTAL.,45,
2,VOTER TURNOUT - TOTAL,,3.30
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,26,57.78
6,YOLANDA CANCEL.,15,33.33
7,JEFFERY P. DONNELLY,2,4.44
8,LINDA MATYS O'CONNELL,2,4.44
9,WRITE-IN.,0,
10,Blanks,0,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,26,16.46
13,JESSE LEDERMAN.,27,17.09
14,KATERI B. WALSH,20,12.66
15,TRACYE L. WHITFIELD,23,14.56
16,LaMAR COOK,12,7.59
17,SEAN CURRAN.,3,1.90
18,KENCY GILET.,6,3.80
19,JOHNNIE RAY MCKNIGHT.,9,5.70
20,KELLI P. MORIARTY-FINN,9,5.70
21,CHRISTOPHER J. POHNER,12,7.59
22,ISRAEL RIVERA,11,6.96
23,WRITE-IN.,0,
24,Blanks,67,
