,0205 2E,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1629,,
1,BALLOTS CAST - TOTAL.,267,,
2,BALLOTS CAST - BLANK.,1,.37,
3,VOTER TURNOUT - TOTAL,,16.39,
4,VOTER TURNOUT - BLANK,,.06,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,219,82.64,
8,Yolanda Cancel,46,17.36,
9,WRITE-IN.,0,,
10,Blanks,2,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,111,11.47,
13,Jesse Lederman.,95,9.81,
14,Kateri B. Walsh,133,13.74,
15,Tracye L. Whitfield,103,10.64,
16,LaMar Cook,34,3.51,
17,Sean Curran.,167,17.25,
18,Johnnie Ray Mcknight.,22,2.27,
19,Kelli P. Moriarty-Finn,128,13.22,
20,Christopher J. Pohner,120,12.40,
21,Israel Rivera,55,5.68,
22,WRITE-IN.,0,,
23,Blanks,367,,
24,CITY COUNCIL WARD 2,,,
25,Vote for 1,,,
26,Michael A. Fenton.,219,99.10,
27,WRITE-IN.,2,.90,
28,Blanks,46,,
