,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1649,,
1,BALLOTS CAST - TOTAL.,236,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,14.31,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,188,81.03,
8,Yolanda Cancel,42,18.10,
9,WRITE-IN.,2,.86,
10,Blanks,4,,
11,CITY COUNCIL AT LARGE,,,
12,Vote for 5,,,
13,Justin J. Hurst,127,14.56,
14,Jesse Lederman.,109,12.50,
15,Kateri B. Walsh,121,13.88,
16,Tracye L. Whitfield,84,9.63,
17,LaMar Cook,30,3.44,
18,Sean Curran.,127,14.56,
19,Johnnie Ray Mcknight.,30,3.44,
20,Kelli P. Moriarty-Finn,78,8.94,
21,Christopher J. Pohner,95,10.89,
22,Israel Rivera,69,7.91,
23,WRITE-IN.,2,.23,
24,Blanks,308,,
25,CITY COUNCIL WARD 8,,,
26,Vote for 1,,,
27,Orlando Ramos,160,96.97,
28,WRITE-IN.,5,3.03,
29,Blanks,71,,
