,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1653,,
1,BALLOTS CAST - TOTAL.,180,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,10.89,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,122,68.93,
8,Yolanda Cancel,55,31.07,
9,WRITE-IN.,0,,
10,Blanks,3,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,85,13.69,
13,Jesse Lederman.,75,12.08,
14,Kateri B. Walsh,70,11.27,
15,Tracye L. Whitfield,81,13.04,
16,LaMar Cook,48,7.73,
17,Sean Curran.,61,9.82,
18,Johnnie Ray Mcknight.,40,6.44,
19,Kelli P. Moriarty-Finn,42,6.76,
20,Christopher J. Pohner,25,4.03,
21,Israel Rivera,91,14.65,
22,WRITE-IN.,3,.48,
23,Blanks,279,,
24,CITY COUNCIL WARD 1,,,
25,Vote for 1,,,
26,Adam Gomez,133,98.52,
27,WRITE-IN.,2,1.48,
28,Blanks,45,,
