,0507 5G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1615,
1,BALLOTS CAST - TOTAL.,193,
2,VOTER TURNOUT - TOTAL,,11.95
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,154,79.79
6,SALVATORE S. CIRCOSTA,21,10.88
7,IVELISSE GONZALEZ.,2,1.04
8,MICHAEL JONES,1,.52
9,JOHNNIE RAY MCKNIGHT.,12,6.22
10,BEVERLY L. SAVAGE.,3,1.55
11,WRITE-IN.,0,
12,Blanks,0,
