,,,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1781,
1,,BALLOTS CAST - TOTAL.,30,
2,,VOTER TURNOUT - TOTAL,,1.68
3,,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,,THOMAS ASHE.,6,6.19
5,,JUSTIN J. HURST,11,11.34
6,,KATERI B. WALSH .,9,9.28
7,,ERNESTO E. CRUZ .,13,13.40
8,,VICTOR G. DAVILA,8,8.25
9,,MARILYN FELIX,10,10.31
10,,JESSE LEDERMAN.,15,15.46
11,,JYNAI S. McDONALD.,7,7.22
12,,KELVIN MOLINA,12,12.37
13,,KELLI P. MORIARTY-FINN,1,1.03
14,,TIMOTHY RYAN,1,1.03
15,,WILLIE J. THOMAS,2,2.06
16,,TRACYE L. WHITFIELD,2,2.06
17,,WRITE-IN.,0,
18,,Blanks,53,35.33
19,,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
20,,DENISE MARIE HURST,9,20.45
21,,JAMES M. ANZIANO,5,11.36
22,,LaMAR COOK,3,6.82
23,,JAMES J. FERRERA III.,5,11.36
24,,JOESIAH GONZALEZ,16,36.36
25,,RYAN HESS,1,2.27
26,,MICHAEL D. KOCSMIERSKY,2,4.55
27,,LaTONIA MONROE NAYLOR,3,6.82
28,,WRITE-IN,0,
29,,Blanks,16,26.67
