,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1669,
1,BALLOTS CAST - TOTAL.,74,
2,VOTER TURNOUT - TOTAL,,4.43
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,27,10.55
5,JUSTIN J. HURST,44,17.19
6,KATERI B. WALSH .,33,12.89
7,ERNESTO E. CRUZ . .,14,5.47
8,VICTOR G. DAVILA .,18,7.03
9,MARILYN FELIX,6,2.34
10,JESSE LEDERMAN.,23,8.98
11,JYNAI S. McDONALD.,12,4.69
12,KELVIN MOLINA,5,1.95
13,KELLI P. MORIARTY-FINN,8,3.13
14,TIMOTHY RYAN,15,5.86
15,WILLIE J. THOMAS,8,3.13
16,TRACYE L. WHITFIELD,41,16.02
17,WRITE-IN.,2,.78
18,Blanks,114,30.81
19,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
20,DENISE MARIE HURST,48,39.02
21,JAMES M. ANZIANO,5,4.07
22,LaMAR COOK,10,8.13
23,JAMES J. FERRERA III.,18,14.63
24,JOESIAH GONZALEZ,7,5.69
25,RYAN HESS,4,3.25
26,MICHAEL D. KOCSMIERSKY,3,2.44
27,LaTONIA MONROE NAYLOR,28,22.76
28,WRITE-IN.,0,
29,Blanks,25,16.89
