,0207 2G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1767,
1,BALLOTS CAST - TOTAL.,259,
2,VOTER TURNOUT - TOTAL,,14.66
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,221,87.35
6,YOLANDA CANCEL.,13,5.14
7,JEFFERY P. DONNELLY,14,5.53
8,LINDA MATYS O'CONNELL,5,1.98
9,WRITE-IN.,0,
10,Blanks,6,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,87,10.20
13,JESSE LEDERMAN.,75,8.79
14,KATERI B. WALSH,114,13.36
15,TRACYE L. WHITFIELD . .,60,7.03
16,LaMAR COOK .,19,2.23
17,SEAN CURRAN.,130,15.24
18,KENCY GILET.,66,7.74
19,JOHNNIE RAY MCKNIGHT.,18,2.11
20,KELLI P. MORIARTY-FINN,62,7.27
21,CHRISTOPHER J. POHNER,194,22.74
22,ISRAEL RIVERA,27,3.17
23,WRITE-IN.,1,.12
24,Blanks,442,
