,REGISTERED VOTERS - TOTAL,1726,
0,BALLOTS CAST - TOTAL,209,
1,VOTER TURNOUT - TOTAL,,12.11
2,CITY COUNCIL AT LARGE VOTE FOR 5,,
3,THOMAS ASHE.,72,10.30
4,JUSTIN J. HURST,154,22.03
5,KATERI B. WALSH . .,75,10.73
6,ERNESTO E. CRUZ .,52,7.44
7,VICTOR G. DAVILA .,27,3.86
8,JESSE LEDERMAN. . .,76,10.87
9,JYNAI S. McDONALD.,64,9.16
10,KELLI P. MORIARTY-FINN,28,4.01
11,TIMOTHY RYAN,35,5.01
12,TRACYE L. WHITFIELD,112,16.02
13,WRITE-IN.,4,.57
14,Blanks,346,
15,CITY COUNCIL WARD 4,,
16,VOTE FOR 1,,
17,E. HENRY TWIGGS,119,62.96
18,ROBERT J. KELLY,70,37.04
19,WRITE-IN.,0,
20,Blanks,20,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
22,DENISE MARIE HURST,159,48.48
23,JAMES J. FERRERA III.,51,15.55
24,RYAN HESS,15,4.57
25,LaTONIA MONROE NAYLOR,103,31.40
26,WRITE-IN.,0,
27,Blanks,90,
28,SCHOOL COMMITTEE DISTRICT 2,,
29,VOTE FOR 1,,
30,BARBARA GRESHAM,115,64.97
31,STEPHANIE MURCHISON-BROWN,60,33.90
32,WRITE-IN.,2,1.13
33,Blanks,32,
