,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1772,
1,BALLOTS CAST - TOTAL.,39,
2,VOTER TURNOUT - TOTAL,,2.20
3,CITY COUNCIL AT LARGE WARD 5 VOTE FOR 1,,
4,CLODO CONCEPCION,28,71.79
5,MICHAEL BELANGER,8,20.51
6,KYLE BURNS,3,7.69
7,WRITE-IN.,0,
