,,REGISTERED VOTERS - TOTAL,VOTES 1525,PERCENT
0,,BALLOTS CAST - TOTAL,234,
1,,VOTER TURNOUT - TOTAL,,15.34
2,,MAYOR,,
3,,VOTE FOR 1,,
4,,DOMENIC J. SARNO,178,77.39
5,,SALVATORE S. CIRCOSTA,51,22.17
6,,WRITE-IN.,1,.43
7,,Blanks,4,
8,,COUNCILLOR AT LARGE,,
9,,VOTE FOR 5,,
10,,THOMAS ASHE.,128,15.09
11,,JUSTIN J. HURST,153,18.04
12,,TIMOTHY J. ROOKE,112,13.21
13,,KATERI B. WALSH,130,15.33
14,,BUD L. WILLIAMS,138,16.27
15,,LaMAR COOK,57,6.72
16,,JEFFERY P. DONNELLY,31,3.66
17,,JESSE L. LEDERMAN.,53,6.25
18,,"KENNETH S. POOLER, JR",22,2.59
19,,ALEXANDER J. SHERMAN.,24,2.83
20,,WRITE-IN.,0,
21,,Blanks,322,
22,,WARD EIGHT COUNCILLOR VOTE FOR 1,,
23,,ORLANDO RAMOS,165,97.06
24,,WRITE-IN.,5,2.94
25,,Blanks,64,
26,,QUESTION 1,,
27,,VOTE FOR 1,,
28,,YES (SI),149,71.29
29,,NO (NO),60,28.71
30,,Blanks,25,
31,,QUESTION 2,,
32,,VOTE FOR 1,,
33,,YES (SI),119,59.50
34,,NO (NO),81,40.50
35,,Blanks,34,
