,0602 6B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1611,
1,BALLOTS CAST - TOTAL.,194,
2,VOTER TURNOUT - TOTAL,,12.04
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,114,61.29
6,YOLANDA CANCEL.,40,21.51
7,JEFFERY P. DONNELLY,12,6.45
8,LINDA MATYS O'CONNELL,19,10.22
9,WRITE-IN.,1,.54
10,Blanks,8,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,71,10.97
13,JESSE LEDERMAN.,123,19.01
14,KATERI B. WALSH,106,16.38
15,TRACYE L. WHITFIELD,62,9.58
16,LaMAR COOK,28,4.33
17,SEAN CURRAN.,55,8.50
18,KENCY GILET.,16,2.47
19,JOHNNIE RAY MCKNIGHT.,24,3.71
20,KELLI P. MORIARTY-FINN,68,10.51
21,CHRISTOPHER J. POHNER,61,9.43
22,ISRAEL RIVERA,27,4.17
23,WRITE-IN.,6,.93
24,Blanks,323,
