,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1510,
1,BALLOTS CAST - TOTAL.,56,
2,VOTER TURNOUT - TOTAL,,3.71
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,36,65.45
6,YOLANDA CANCEL.,16,29.09
7,JEFFERY P. DONNELLY,2,3.64
8,LINDA MATYS O'CONNELL,1,1.82
9,WRITE-,0,
10,Blanks,1,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,38,22.22
13,JESSE LEDERMAN.,26,15.20
14,KATERI B. WALSH,23,13.45
15,TRACYE L. WHITFIELD,18,10.53
16,LaMAR COOK,14,8.19
17,SEAN CURRAN.,10,5.85
18,KENCY GILET.,3,1.75
19,JOHNNIE RAY MCKNIGHT.,7,4.09
20,KELLI P. MORIARTY-FINN,12,7.02
21,CHRISTOPHER J. POHNER,9,5.26
22,ISRAEL RIVERA,11,6.43
23,WRITE-IN.,0,
24,Blanks,109,
