,0802 8B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1507,
1,BALLOTS CAST - TOTAL,227,
2,VOTER TURNOUT - TOTAL,,15.06
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,167,75.23
6,SALVATORE S. CIRCOSTA,53,23.87
7,WRITE-IN.,2,.90
8,Blanks,5,
9,COUNCILLOR AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,133,16.24
12,JUSTIN J. HURST,122,14.90
13,TIMOTHY J. ROOKE,119,14.53
14,KATERI B. WALSH,114,13.92
15,BUD L. WILLIAMS,138,16.85
16,LaMAR COOK,45,5.49
17,JEFFERY P. DONNELLY,50,6.11
18,JESSE L. LEDERMAN.,49,5.98
19,"KENNETH S. POOLER, JR",24,2.93
20,ALEXANDER J. SHERMAN.,24,2.93
21,WRITE-IN.,1,.12
22,Blanks,316,
23,WARD EIGHT COUNCILLOR VOTE FOR 1,,
24,ORLANDO RAMOS,158,97.53
25,WRITE-IN,4,2.47
26,Blanks,65,
27,QUESTION 1,,
28,VOTE FOR 1,,
29,YES (SI),137,64.62
30,NO (NO),75,35.38
31,Blanks,15,
32,QUESTION 2,,
33,VOTE FOR 1,,
34,YES (SI),119,60.71
35,NO (NO),77,39.29
36,Blanks,31,
