,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1418,
1,BALLOTS CAST - TOTAL.,99,
2,VOTER TURNOUT - TOTAL,,6.98
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,80,81.63
6,YOLANDA CANCEL.,11,11.22
7,JEFFERY P. DONNELLY,4,4.08
8,LINDA MATYS 0'CONNELL,3,3.06
9,WRITE-IN.,0,
10,Blanks,1,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,60,15.71
13,JESSE LEDERMAN.,41,10.73
14,KATERI B. WALSH,41,10.73
15,TRACYE L. WHITFIELD,51,13.35
16,LaMAR COOK,23,6.02
17,SEAN CURRAN.,43,11.26
18,KENCY GILET.,14,3.66
19,JOHNNIE RAY MCKNIGHT.,19,4.97
20,KELLI P. MORIARTY-FINI,31,8.12
21,CHRISTOPHER J. POHNER,34,8.90
22,ISRAEL RIVERA,25,6.54
23,WRITE-IN.,0,
24,Blanks,113,
