,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1724,,
1,BALLOTS CAST - TOTAL.,424,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,24.59,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,368,87.62,
8,Yolanda Cancel,51,12.14,
9,WRITE-IN.,1,.24,
10,Blanks,4,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,242,15.09,
13,Jesse Lederman.,200,12.47,
14,Kateri B. Walsh,227,14.15,
15,Tracye L. Whitfield,177,11.03,
16,LaMar Cook,65,4.05,
17,Sean Curran.,235,14.65,
18,Johnnie Ray Mcknight.,52,3.24,
19,Kelli P. Moriarty-Finn,147,9.16,
20,Christopher J. Pohner,137,8.54,
21,Israel Rivera,117,7.29,
22,WRITE-IN.,5,.31,
23,Blanks,516,,
24,CITY COUNCIL WARD 5,,,
25,Vote for 1,,,
26,Marcus J. Williams,265,73.41,
27,Edward Green,95,26.32,
28,WRITE-IN,1,.28,
29,Blanks,63,,
