,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1638,,
1,BALLOTS CAST - TOTAL.,384,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,23.44,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,325,86.90,
8,Yolanda Cancel,48,12.83,
9,WRITE-IN.,1,.27,
10,Blanks,10,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,202,14.25,
13,Jesse Lederman.,181,12.76,
14,Kateri B. Walsh,222,15.66,
15,Tracye L. Whitfield,155,10.93,
16,LaMar Cook,44,3.10,
17,Sean Curran.,163,11.50,
18,Johnnie Ray Mcknight.,85,5.99,
19,Kelli P. Moriarty-Finn,132,9.31,
20,Christopher J. Pohner,153,10.79,
21,Israel Rivera,78,5.50,
22,WRITE-IN.,3,.21,
23,Blanks,502,,
24,CITY COUNCIL WARD 7,,,
25,Vote for 1,,,
26,Timothy C. Allen,267,99.26,
27,WRITE-IN.,2,.74,
28,Blanks,115,,
