,REGISTERED VOTERS - TOTAL,VOTES 1673,PERCENT
0,BALLOTS CAST - TOTAL.,220,
1,VOTER TURNOUT - TOTAL,,13.15
2,QUESTION 1: Casino,,
3,VOTE FOR 1,,
4,YES,148,67.27
5,NO.,72,32.73
