,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1660,
1,BALLOTS CAST - TOTAL.,92,
2,VOTER TURNOUT - TOTAL,,5.54
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,63,71.59
6,YOLANDA CANCEL.,16,18.18
7,JEFFERY P. DONNELLY,5,5.68
8,LINDA MATYS O'CONNELL,4,4.55
9,WRITE-IN.,0,
10,Blanks,4,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,38,11.41
13,JESSE LEDERMAN.,30,9.01
14,KATERI B. WALSH .,40,12.01
15,TRACYE L. WHITFIELD . .,27,8.11
16,LaMAR COOK,11,3.30
17,SEAN CURRAN.,52,15.62
18,KENCY GILET.,18,5.41
19,JOHNNIE RAY MCKNIGHT.,13,3.90
20,KELLI P. MORIARTY-FINN,30,9.01
21,CHRISTOPHER J. POHNER,54,16.22
22,ISRAEL RIVERA,20,6.01
23,WRITE-IN.,0,
24,Blanks,127,
