,0108 1H,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1534,,
1,BALLOTS CAST - TOTAL,124,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,8.08,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,75,63.56,
8,Yolanda Cancel.,43,36.44,
9,WRITE-IN.,0,,
10,Blanks,6,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,73,17.38,
13,Jesse Lederman.,47,11.19,
14,Kateri B. Walsh,51,12.14,
15,Tracye L. Whitfield,56,13.33,
16,LaMar Cook,28,6.67,
17,Sean Curran.,37,8.81,
18,Johnnie Ray Mcknight.,21,5.00,
19,Kelli P. Moriarty-Finn,31,7.38,
20,Christopher J. Pohner,21,5.00,
21,Israel Rivera,52,12.38,
22,WRITE-IN.,3,.71,
23,Blanks,200,,
24,CITY COUNCIL WARD 1,,,
25,Vote for 1,,,
26,Adam Gomez,93,97.89,
27,WRITE-IN.,2,2.11,
28,Blanks,29,,
