,,,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1484,
1,,BALLOTS CAST - TOTAL.,150,
2,,VOTER TURNOUT - TOTAL,,10.11
3,,MAYOR,,
4,,VOTE FOR 1,,
5,,DOMENIC J. SARNO,114,77.55
6,,SALVATORE S. CIRCOSTA,32,21.77
7,,WRITE-IN.,1,.68
8,,Blanks,3,
9,,COUNCILLOR AT LARGE VOTE FOR 5,,
10,,THOMAS ASHE.,49,10.29
11,,JUSTIN J. HURST,101,21.22
12,,TIMOTHY J. ROOKE,41,8.61
13,,KATERI B. WALSH,54,11.34
14,,BUD L. WILLIAMS,103,21.64
15,,LaMAR COOK,52,10.92
16,,JEFFERY P. DONNELLY,15,3.15
17,,JESSE L. LEDERMAN.,36,7.56
18,,"KENNETH S. POOLER, JR",7,1.47
19,,ALEXANDER J. SHERMAN.,15,3.15
20,,WRITE-IN,3,.63
21,,Blanks,274,
22,,WARD FOUR COUNCILLOR,,
23,,VOTE FOR 1,,
24,,E. HENRY TWIGGS,97,71.85
25,,VICTORIA E. ROWE,37,27.41
26,,WRITE-IN.,1,.74
27,,Blanks,15,
28,,QUESTION 1,,
29,,VOTE FOR 1,,
30,,YES (SI),102,75.00
31,,NO (NO),34,25.00
32,,Blanks,14,
33,,QUESTION 2,,
34,,VOTE FOR 1,,
35,,YES (SI),91,72.22
36,,NO (NO),35,27.78
37,,Blanks,24,
