,0602 6B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1721,
1,BALLOTS CAST - TOTAL,294,
2,VOTER TURNOUT - TOTAL,,17.08
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,108,10.51
5,JUSTIN J. HURST,97,9.44
6,KATERI B. WALSH . .,157,15.27
7,ERNESTO E. CRUZ . .,51,4.96
8,VICTOR G. DAVILA . .,78,7.59
9,JESSE LEDERMAN. . .,195,18.97
10,JYNAI S. McDONALD. .,37,3.60
11,KELLI P. MORIARTY-FINN,92,8.95
12,TIMOTHY RYAN,156,15.18
13,TRACYE L. WHITFIELD,57,5.54
14,WRITE-IN.,0,
15,Blanks,442,
16,CITY COUNCIL WARD 6,,
17,VOTE FOR 1,,
18,KENNETH SHEA,197,78.80
19,BOB COLLAMORE,52,20.80
20,WRITE-IN.,1,.40
21,Blanks,44,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,139,31.95
24,JAMES J. FERRERA III.,100,22.99
25,RYAN HESS,70,16.09
26,LaTONIA MONROE NAYLOR,126,28.97
27,WRITE-IN.,0,
28,Blanks,153,
29,SCHOOL COMMITTEE DISTRICT 3,,
30,VOTE FOR 1,,
31,CHRISTOPHER COLLINS,154,98.72
32,WRITE-IN.,2,1.28
33,Blanks,138,
