,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1581,
1,BALLOTS CAST - TOTAL.,109,
2,VOTER TURNOUT - TOTAL,,6.89
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,83,76.15
6,YOLANDA CANCEL.,21,19.27
7,JEFFERY P. DONNELLY,1,.92
8,LINDA MATYS O'CONNELL,3,2.75
9,WRITE-IN.,1,.92
10,Blanks,0,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,53,14.72
14,JESSE LEDERMAN.,49,13.61
15,KATERI B. WALSH,49,13.61
16,TRACYE L. WHITFIELD,40,11.11
17,LaMAR COOK,23,6.39
18,SEAN CURRAN.,30,8.33
19,KENCY GILET.,12,3.33
20,JOHNNIE RAY MCKNIGHT.,23,6.39
21,KELLI P. MORIARTY-FINN,22,6.11
22,CHRISTOPHER J. POHNER,34,9.44
23,ISRAEL RIVERA,25,6.94
24,WRITE-IN.,0,
25,Blanks,185,
