,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,860,
1,BALLOTS CAST - TOTAL.,78,
2,VOTER TURNOUT - TOTAL,,9.07
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,37,13.60
5,JUSTIN J. HURST,48,17.65
6,KATERI B. WALSH .,37,13.60
7,ERNESTO E. CRUZ .,5,1.84
8,VICTOR G. DAVILA,6,2.21
9,MARILYN FELIX,13,4.78
10,JESSE LEDERMAN.,35,12.87
11,JYNAI S. McDONALD.,9,3.31
12,KELVIN MOLINA,10,3.68
13,KELLI P. MORIARTY-FINN,15,5.51
14,TIMOTHY RYAN,27,9.93
15,WILLIE J. THOMAS,5,1.84
16,TRACYE L. WHITFIELD,25,9.19
17,WRITE-IN.,0,
18,Blanks,118,30.26
19,SCHOOL COMMITTEE AT LARGE,,
20,VOTE FOR 2,,
21,DENISE MARIE HURST,45,33.09
22,JAMES M. ANZIANO,3,2.21
23,LaMAR COOK,6,4.41
24,JAMES J. FERRERA III.,35,25.74
25,JOESIAH GONZALEZ,6,4.41
26,RYAN HESS,15,11.03
27,MICHAEL D. KOCSMIERSKY,4,2.94
28,LaTONIA MONROE NAYLOR,22,16.18
29,WRITE-IN.,0,
30,Blanks,20,12.82
